Model Name,Model Category,MSE,RMSE,MAE,R2,MAPE,Adjusted R2
Linear Regression,Regression Models,44.111574354870484,6.641654489272269,4.98377965405803,0.39774203745607584,0.06595408145758065,0.3967995367322199
Ridge Regression,Regression Models,44.111566674281605,6.641653911058721,4.983784915904498,0.39774214231961513,0.06595416357496932,0.39679964175986493
Lasso Regression,Regression Models,44.176233728297795,6.646520422619477,5.064943722221807,0.3968592391640353,0.06715431667277633,0.395915356909206
Elastic Net,Regression Models,44.24190236722494,6.651458664625748,5.065165163648807,0.3959626613097714,0.06718021784356025,0.39501737595970843
Bayesian Ridge,Regression Models,44.11099856649816,6.641611142373375,4.984183088235149,0.39774989872915534,0.06596037751758585,0.39680741030776123
Polynomial Regression,Regression Models,10.653206852116625,3.2639250683979597,2.1276442896667827,0.8545511297851394,0.02894255624095137,0.8543235102699361
SVR,Regression Models,56.61289321105286,7.524153986399591,5.3280900928614745,0.22706078353240955,0.0716196277630888,0.22585117599490157
MLP Regressor,Regression Models,31.191003563443115,5.584890649192974,4.2767902543516705,0.5741473631229528,0.05737820818815066,0.573480927071502
Decision Tree,Tree-Based Models,1.9433276724660467,1.3940328806975992,0.9843726898549237,0.9734676310766178,0.013261412507565783,0.9734261093725124
Random Forest,Tree-Based Models,1.0146471428452657,1.0072969486925223,0.7418989106573906,0.9861469618827257,0.009991892085409305,0.9861252826368457
Gradient Boosting,Boosting Models,2.3062115948339676,1.5186216101563839,0.9626561319866447,0.9685131551840311,0.01293600642904634,0.9684638799965257
AdaBoost,Boosting Models,14.907550033415836,3.8610296597430893,3.0949052906000962,0.7964663279206827,0.04111927744842741,0.7961478088720453
XGBoost,Boosting Models,1.0471802344685441,1.0233182469146849,0.7450060180910572,0.9857027856373106,0.010016520910099849,0.9856804112799356
LightGBM,Boosting Models,1.0415166705624441,1.0205472407304055,0.7359028023995497,0.9857801106140024,0.009926150071436608,0.9857578572659805
Hgbrt,Boosting Models,0.9873682875874895,0.9936640718006712,0.7270360014846491,0.9865194017248385,0.009795233330760631,0.9864983053269119
